00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 992	D : 8.79	SSD: 0.21M	Speed: 0.30m/s	Angle: 83
Distance : 975	D : 8.81	SSD: 0.19M	Speed: 0.27m/s	Angle: 83
Distance : 953	D : 8.76	SSD: 0.24M	Speed: 0.35m/s	Angle: 83
Distance : 940	D : 8.86	SSD: 0.14M	Speed: 0.20m/s	Angle: 83
Distance : 921	D : 8.79	SSD: 0.21M	Speed: 0.30m/s	Angle: 83
Distance : 909	D : 8.87	SSD: 0.13M	Speed: 0.19m/s	Angle: 83
Distance : 898	D : 7.88	SSD: 0.12M	Speed: 0.17m/s	Angle: 82
Distance : 882	D : 7.83	SSD: 0.17M	Speed: 0.25m/s	Angle: 82
Distance : 872	D : 7.89	SSD: 0.11M	Speed: 0.16m/s	Angle: 82
Distance : 862	D : 7.89	SSD: 0.11M	Speed: 0.16m/s	Angle: 82
Distance : 857	D : 7.94	SSD: 0.06M	Speed: 0.08m/s	Angle: 82
Distance : 848	D : 7.90	SSD: 0.10M	Speed: 0.14m/s	Angle: 82
Distance : 844	D : 7.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 82
Distance : 842	D : 8.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 82
Distance : 837	D : 7.94	SSD: 0.06M	Speed: 0.08m/s	Angle: 82
Distance : 834	D : 7.97	SSD: 0.03M	Speed: 0.05m/s	Angle: 82
Distance : 830	D : 7.96	SSD: 0.04M	Speed: 0.06m/s	Angle: 82
Distance : 832	D : 8.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 82
Distance : 832	D : 8.00	SSD: 0.00M	Spe
